ID,Bilsecpr,Bilphpr,Pansecpr,Panphpr,Bilsecpt,Bilphpt,Pansecpt,Panphpt,Hormone
1,14.3,,0.2,,5,,6,,saline
31,40,8.4,,,40,8.4,,,saline
29,25,8.6,,,17.5,8.7,,,saline
25,0.1,,20,8.4,10,,12.5,8.3,saline
23,35,8.4,,,40,8.5,,,saline
40,1.8,,,,3.7,,,,saline
35,7.4,,,,5,,,,saline
39,13.5,,,,12.5,8.6,4,8.4,saline
41,4.8,,,,2.2,,0.2,8.5,saline
43,5.4,,,,2.1,,,,saline
42,4.5,,2.7,8.7,0.3,,0.3,8.8,saline
44,7.2,,,,0.6,,,,saline
34,2.6,,,,0.5,,,,saline
49,9.6,,,,2.3,,,,saline
32,20,,,,16.3,,,,saline
45,2.5,,,,,,,,saline
1,10,7,10,7.2,,,5,7.4,aPP
2,6,6.8,3,7.2,,,,,aPP
2,3.4,6.5,0.1,6.9,4,6.4,,,aPP
3,2.1,6.8,,,1.7,6.9,,,aPP
4,0.7,7.4,,,0.4,7.2,,,aPP
5,10,7,6.3,7.6,10,6.8,5,8,aPP
6,2.3,6.8,1.9,8,3,6.8,1.2,8,aPP
9,0.9,7.4,,,2,6.8,,,aPP
22,4.1,,,,0.5,,,,aPP
24,9.7,,7.7,8.8,5,,,,aPP
30,7.7,,,,2.4,,,,aPP
23,5.7,,,,5,,,,aPP
39,3,,,,2.2,,0.7,8.5,aPP
36,,,7.6,9,,,1.2,9,aPP
32,9,,,,9,,,,aPP
34,3.4,,1.6,9.1,6.3,,,,aPP
64,6.1,,,,4,,,,aPP
65,1.4,,,,2.8,,,,aPP
9,0.02,,,,0.02,7,,,CCK
15,0.02,,,,0.02,,,,CCK
12,8,,,,33,,,,CCK
19,23.5,,,,16.3,8.6,,,CCK
18,35,8.5,,,37.5,8.4,,,CCK
56,2,,,,6.3,,,,CCK
60,5,,2.4,8.6,5,,1.3,8.6,CCK
20,13,,,,7.5,,,,CCK
20,10.3,,7.5,,1.9,,4.7,8,CCK
21,7.8,,,,2.7,,0.9,8.1,CCK
22,28,8.4,,,27.5,8.5,,,CCK
24,34,8.4,,,55,8.4,,,CCK
30,3.7,,,,24,8.4,,,CCK
59,7,,2.7,8.5,22.5,8.6,3.5,8.8,CCK
26,10,,,,0.8,,,,CCK
31,50,8.1,,,30,8.1,,,CCK
23,30,8.8,,,30,8.4,,,CCK
40,2.2,,,,7.5,,,,CCK
35,1.7,,,,2.4,,,,CCK
41,10,,,,18.8,8.4,,,CCK
43,3.5,,,,5,,0.3,8.3,CCK
42,11.4,,,,38.5,8.5,,,CCK
39,30,8.6,,,37,8.5,,,CCK
38,3.6,,,,21.3,8.7,,,CCK
34,15,,1.5,9.2,23.5,8.8,1,9.2,CCK
32,35,8.4,,,22.5,8.6,,,CCK
44,19.5,,,,2.2,,,,CCK
36,9,,1.6,8,15,8.6,,,CCK
54,28,7.9,0.7,,14,8.2,,,CCK
52,8.6,,,,2.7,,,,CCK
51,9.3,,0.2,,6.3,,1.1,9,CCK
62,6.4,,,,6.5,,0.7,8,CCK
63,12.5,,,,0.5,,2.5,8.8,CCK
64,20,,,,0.4,,,,CCK
65,17.5,,,,9.5,,,,CCK
66,15,,,,15,8,,,CCK
73,4.5,,4.4,,23.8,8.4,0.2,7.8,CCK
74,10.5,,,,13.8,7.9,,,CCK
75,25,7.3,,,17.5,8.3,,,CCK
76,27.5,8.2,,,28.8,8.6,,,CCK
77,15,,,,12.5,8.2,,,CCK
78,30,8.9,,,25,8.6,,,CCK
70,15,,,,8.8,,,,CCK
79,15,,2.9,7.7,6.3,,2.9,7.8,CCK
67,7.5,,1.4,8,11.3,,2.2,8,CCK
28,2,,,,,,,,secretin
24,25,8.7,,,30,8.5,,,secretin
30,10,,,,0.7,,,,secretin
59,15,,,,12.5,8.2,0.8,8.1,secretin
58,10,,,,5,,,,secretin
27,5.5,,,,1.8,,,,secretin
26,7.9,,2.9,8,5,,2.1,9,secretin
31,30,8.4,,,7.5,,,,secretin
23,10,,,,,,,,secretin
29,10,,,,15,7.9,,,secretin
25,30,7.6,1.5,8.3,37.5,8.5,5.2,8.1,secretin
40,30,8.9,15,8.5,30,8.4,15,8,secretin
33,20,,,,12.5,8.1,,,secretin
39,20,,,,15,8.3,,,secretin
41,14,,,,0.8,,,,secretin
42,14.5,,0.9,8.9,,,3.2,8.8,secretin
49,5,,,,1.4,,,,secretin
45,17.5,,3.2,7,15.5,8.7,2.5,8.4,secretin
32,32.5,8,1.4,8,37.5,8.2,9.3,8.4,secretin
66,26,8,,,1.3,,,,secretin
67,9.4,,4.6,8,,,5,8.5,secretin
10,4.5,,,,3.4,,,,VIP
10,10,,,,3.9,,,,VIP
23,15,,5,7.1,0.5,,,,VIP
35,0.5,,,,1.1,,,,VIP
17,4.8,,0.5,,7.5,,2.7,7.1,VIP
16,4.4,,,,3.6,,,,VIP
18,25,8.4,,,25,8.5,,,VIP
21,10,,,,6.3,,,,VIP
19,20,,,,5,,1.5,8.5,VIP
20,10.5,,,,12,,,,VIP
22,13.4,,,,25,8.6,,,VIP
24,42.5,8.3,4.7,8.9,32.5,8.5,3.5,8.6,VIP
30,10,,,,1.1,,,,VIP
26,11.1,,,,0.5,,,,VIP
27,9.2,,,,,,,,VIP
31,35,8.3,,,17.5,8.4,,,VIP
23,30,7.9,,,27.5,8.4,,,VIP
29,10,,,,5,,,,VIP
43,10,,,,4.1,,4.3,8.9,VIP
39,19,,,,25,8.6,,,VIP
41,30,8.5,,,32.5,8.3,,,VIP
42,9,,,,1.3,,,,VIP
44,24,8,,,3.8,,,,VIP
32,27.5,7.9,,,85,8.2,,,VIP
36,12.5,,,,16.5,,,,VIP
37,40,8.4,7.9,8.4,32.5,8.2,2,9,VIP
34,9.3,,,,10,8.7,3.3,9,VIP
49,10.6,,,,29,8.6,,,VIP
45,10.6,,,,35,8.5,3.2,8.8,VIP
46,15,,,,52.5,8.6,,,VIP
48,25,8.5,,,30,8.6,,,VIP
47,30,8.4,,,32.5,8.6,0.5,,VIP
52,1.2,,1.4,9.2,1.6,,0.4,9.3,VIP
53,16.5,,,,40.8,8.5,,,VIP
62,12.5,,0.1,8.9,8.5,,2.4,8.7,VIP
65,14,,1.5,8.7,11.3,8.6,2.5,8.8,VIP
63,9.2,,1.8,8,32,8.2,10,8.6,VIP
64,10.1,,,,33.8,8.1,1.3,,VIP
68,12,,0.6,8.8,27.8,8.6,0.4,9,VIP
69,15,,4.8,8.9,17.5,8.4,5,8.4,VIP
70,15,,5.3,7.8,7.5,,2.5,7.9,VIP
72,10,,2.4,8.9,13.8,7.8,0.8,9.3,VIP