gender,class,status
male,lowest,died
female,middle,survived
male,lowest,died
female,lowest,survived
male,middle,died
male,lowest,died
male,highest,survived
male,highest,died
male,lowest,died
female,lowest,died
female,highest,survived
male,middle,died
male,lowest,died
female,middle,survived
male,highest,died
female,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
male,highest,survived
male,middle,died
male,lowest,died
male,highest,died
male,middle,died
female,lowest,died
male,lowest,died
male,middle,died
female,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
male,middle,survived
female,highest,survived
male,highest,survived
female,middle,survived
male,lowest,died
male,lowest,survived
male,middle,died
male,lowest,died
male,highest,died
female,lowest,survived
female,lowest,died
female,lowest,died
male,lowest,died
male,middle,died
female,lowest,died
female,highest,survived
male,lowest,died
male,highest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,highest,died
male,middle,died
male,lowest,died
male,lowest,died
male,highest,survived
male,lowest,died
female,highest,survived
female,highest,survived
male,highest,survived
male,lowest,died
male,lowest,died
female,lowest,died
female,highest,survived
male,lowest,died
male,middle,died
female,lowest,died
male,highest,died
male,middle,died
male,lowest,died
male,lowest,survived
male,middle,died
male,middle,died
male,lowest,died
female,lowest,died
female,lowest,died
male,lowest,died
female,lowest,survived
female,lowest,died
male,highest,died
male,middle,died
female,highest,survived
female,lowest,survived
male,highest,died
female,lowest,died
male,highest,died
male,lowest,died
female,middle,died
female,middle,survived
male,lowest,died
male,highest,died
male,lowest,died
male,lowest,died
male,highest,died
male,highest,survived
male,lowest,survived
male,lowest,died
male,lowest,died
female,highest,survived
male,highest,died
male,lowest,died
male,middle,died
male,lowest,died
female,lowest,died
male,highest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,survived
male,highest,died
male,highest,died
male,middle,died
male,lowest,died
male,middle,died
female,lowest,died
female,highest,survived
male,lowest,died
female,lowest,survived
male,highest,died
female,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
female,highest,survived
female,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
female,lowest,died
male,lowest,died
male,highest,died
female,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
female,middle,survived
male,middle,survived
female,lowest,survived
female,highest,survived
female,lowest,died
male,middle,survived
female,lowest,survived
female,lowest,survived
male,lowest,died
female,middle,died
male,lowest,died
female,lowest,survived
female,highest,survived
female,lowest,died
male,lowest,died
male,lowest,died
male,lowest,survived
female,lowest,survived
female,highest,survived
male,lowest,died
male,middle,died
male,lowest,died
female,highest,survived
female,lowest,survived
female,middle,survived
female,highest,survived
male,lowest,died
male,lowest,survived
female,lowest,died
female,lowest,survived
male,highest,died
male,lowest,died
female,middle,survived
male,lowest,died
male,middle,died
female,lowest,died
female,lowest,survived
male,middle,died
female,highest,survived
male,lowest,died
female,middle,survived
male,highest,survived
male,lowest,died
male,middle,died
male,middle,died
male,lowest,survived
male,middle,died
female,middle,died
male,lowest,died
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,died
male,highest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
female,lowest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
male,lowest,survived
female,lowest,survived
male,lowest,survived
female,lowest,survived
male,middle,survived
male,lowest,died
male,middle,died
female,highest,survived
male,lowest,survived
male,lowest,died
male,middle,died
male,lowest,died
female,lowest,died
male,lowest,died
male,highest,died
female,lowest,survived
male,lowest,died
female,lowest,survived
male,middle,died
male,lowest,died
female,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
female,highest,survived
male,lowest,died
female,highest,survived
female,lowest,survived
female,lowest,died
male,lowest,survived
female,middle,survived
male,lowest,survived
male,lowest,died
male,lowest,died
female,highest,survived
female,middle,survived
male,lowest,died
male,lowest,died
male,highest,died
male,highest,died
female,highest,survived
male,highest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,highest,died
female,lowest,died
male,middle,survived
male,highest,died
male,middle,died
male,lowest,died
male,highest,died
female,middle,died
male,middle,died
female,lowest,died
male,lowest,died
male,lowest,died
male,lowest,survived
male,lowest,died
male,highest,died
male,lowest,died
female,highest,survived
male,highest,survived
male,lowest,died
male,lowest,died
female,highest,survived
male,highest,survived
male,lowest,survived
female,lowest,died
female,highest,survived
male,lowest,survived
male,middle,died
male,lowest,died
male,highest,died
male,highest,died
female,lowest,died
female,lowest,died
male,lowest,died
male,middle,died
male,highest,died
female,highest,survived
male,lowest,died
female,lowest,survived
male,lowest,died
female,highest,survived
female,highest,survived
male,middle,died
male,middle,died
female,highest,died
male,lowest,died
male,highest,died
male,lowest,died
male,highest,died
male,lowest,died
male,middle,died
male,highest,died
female,middle,survived
female,middle,survived
female,lowest,died
male,lowest,died
female,lowest,died
male,lowest,died
female,highest,survived
female,lowest,died
female,highest,survived
female,highest,died
male,middle,died
male,lowest,died
male,middle,died
male,highest,died
female,lowest,died
female,middle,survived
female,lowest,survived
male,lowest,died
female,lowest,died
male,lowest,died
female,middle,survived
male,highest,survived
male,middle,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,lowest,survived
female,middle,survived
male,highest,died
female,lowest,survived
male,middle,died
male,lowest,survived
male,middle,died
male,middle,survived
female,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
female,middle,died
female,lowest,died
male,highest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
male,middle,died
male,middle,died
female,highest,survived
male,lowest,died
female,highest,survived
female,middle,survived
male,lowest,died
female,highest,survived
female,highest,survived
male,lowest,died
male,lowest,died
male,highest,survived
male,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,survived
male,middle,survived
female,middle,survived
female,lowest,died
male,lowest,died
female,lowest,survived
male,middle,died
male,lowest,died
female,lowest,died
female,highest,survived
male,middle,died
female,lowest,survived
male,middle,died
male,lowest,died
female,highest,survived
male,lowest,died
male,middle,died
female,highest,survived
male,lowest,died
male,lowest,died
female,middle,survived
male,lowest,died
female,lowest,died
female,lowest,died
female,highest,survived
male,middle,died
male,highest,survived
male,lowest,died
female,middle,survived
male,lowest,died
female,middle,died
male,middle,survived
female,lowest,survived
female,lowest,died
male,lowest,died
male,highest,survived
male,middle,died
male,highest,survived
male,lowest,survived
male,lowest,died
female,middle,died
male,lowest,died
male,middle,died
female,lowest,died
female,middle,survived
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,survived
female,lowest,died
male,lowest,died
male,lowest,died
male,highest,died
female,middle,survived
female,lowest,died
female,highest,survived
male,middle,survived
male,highest,died
male,lowest,died
male,middle,died
male,lowest,survived
female,middle,survived
male,lowest,died
male,lowest,died
male,highest,survived
male,lowest,died
male,lowest,died
male,lowest,survived
male,middle,died
female,middle,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
female,middle,died
male,lowest,died
male,middle,died
male,highest,died
female,lowest,survived
female,highest,survived
male,middle,died
female,lowest,died
female,highest,survived
male,highest,survived
male,lowest,died
male,highest,survived
female,lowest,died
male,lowest,died
female,highest,survived
male,highest,died
female,lowest,died
male,lowest,survived
male,lowest,died
female,middle,survived
male,lowest,survived
male,highest,died
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,highest,survived
male,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,survived
male,highest,died
male,lowest,died
male,middle,died
male,highest,died
male,middle,survived
male,lowest,died
female,middle,survived
male,middle,died
female,lowest,survived
male,highest,died
male,lowest,survived
male,highest,died
female,highest,died
male,middle,died
female,lowest,survived
male,highest,died
male,highest,died
female,highest,survived
female,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
male,lowest,died
male,lowest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
female,highest,died
male,middle,died
male,lowest,died
male,lowest,died
male,middle,died
female,lowest,died
male,lowest,survived
female,highest,survived
male,lowest,died
female,middle,survived
male,lowest,died
female,highest,survived
female,lowest,survived
male,lowest,died
female,highest,survived
female,middle,survived
male,lowest,died
female,lowest,survived
male,highest,survived
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
female,highest,survived
male,lowest,died
female,middle,survived
female,middle,survived
female,highest,survived
female,highest,survived
male,lowest,died
female,lowest,survived
male,lowest,died
female,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
female,highest,survived
female,highest,died
male,highest,survived
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
female,highest,survived
male,highest,died
male,middle,died
male,lowest,died
female,lowest,died
male,highest,died
male,middle,died
female,middle,survived
female,lowest,died
male,lowest,survived
female,lowest,died
male,lowest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,highest,survived
male,lowest,died
female,highest,survived
male,highest,died
female,middle,survived
male,lowest,died
male,lowest,died
female,middle,survived
male,middle,survived
female,highest,survived
female,middle,survived
male,lowest,died
male,lowest,died
female,lowest,survived
male,highest,died
male,highest,died
male,lowest,died
male,highest,survived
male,highest,survived
female,highest,survived
male,middle,died
female,highest,survived
female,lowest,survived
female,lowest,died
female,middle,survived
male,middle,died
female,lowest,survived
female,middle,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,survived
male,middle,died
male,lowest,died
male,lowest,died
female,highest,survived
female,lowest,survived
male,middle,died
female,middle,survived
male,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,middle,survived
male,highest,died
male,highest,died
female,lowest,survived
male,highest,died
male,lowest,died
male,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
female,lowest,died
male,lowest,survived
male,middle,died
male,lowest,died
female,lowest,died
female,lowest,survived
male,lowest,survived
female,highest,survived
male,lowest,died
female,lowest,survived
male,lowest,died
female,lowest,died
male,middle,died
male,middle,survived
male,lowest,died
male,lowest,died
female,highest,survived
male,lowest,survived
female,lowest,survived
male,lowest,died
female,lowest,died
female,highest,survived
male,lowest,died
male,lowest,died
female,lowest,died
male,middle,died
male,highest,died
male,lowest,survived
male,highest,survived
male,middle,died
male,highest,died
male,lowest,died
male,highest,died
male,middle,died
male,lowest,died
female,lowest,survived
male,middle,died
male,highest,died
female,lowest,died
male,lowest,survived
female,middle,survived
female,highest,survived
male,middle,died
male,lowest,died
male,highest,died
male,lowest,survived
female,highest,survived
male,lowest,died
male,highest,survived
male,highest,died
male,lowest,survived
male,middle,died
male,highest,survived
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
male,middle,died
male,middle,died
male,highest,died
female,highest,survived
male,lowest,died
male,middle,died
male,lowest,died
male,middle,died
male,lowest,survived
male,lowest,died
male,lowest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
female,lowest,survived
female,lowest,survived
male,lowest,survived
male,lowest,survived
female,lowest,died
female,highest,survived
female,lowest,died
male,highest,survived
male,highest,survived
male,lowest,died
female,highest,survived
male,middle,died
male,middle,died
female,middle,survived
male,middle,died
female,highest,survived
female,highest,survived
male,lowest,died
male,middle,survived
female,lowest,survived
male,lowest,died
female,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
female,middle,died
male,lowest,survived
female,highest,survived
male,lowest,died
male,lowest,died
male,middle,died
female,highest,died
female,middle,survived
male,lowest,died
male,lowest,died
female,lowest,died
male,lowest,died
female,middle,survived
male,lowest,died
female,highest,survived
female,middle,survived
male,highest,survived
male,middle,died
male,middle,died
male,highest,died
male,lowest,died
female,highest,survived
female,lowest,survived
female,lowest,survived
male,middle,died
male,highest,died
female,middle,survived
female,lowest,died
male,middle,died
male,lowest,survived
male,middle,died
male,highest,died
male,middle,survived
female,lowest,died
male,lowest,survived
male,highest,died
male,lowest,died
male,middle,died
male,highest,survived
female,highest,survived
male,lowest,died
female,highest,survived
male,lowest,died
male,highest,died
male,highest,died
male,lowest,died
female,middle,survived
male,lowest,survived
male,middle,died
male,highest,survived
male,lowest,died
male,middle,survived
male,middle,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,lowest,survived
male,middle,died
male,lowest,survived
male,lowest,died
female,highest,survived
male,lowest,survived
male,lowest,died
male,highest,died
female,lowest,died
male,highest,died
male,lowest,died
female,middle,survived
female,middle,survived
male,highest,died
female,highest,survived
male,lowest,died
male,highest,died
male,lowest,died
female,lowest,died
male,lowest,died
male,middle,died
male,lowest,died
female,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,highest,survived
female,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,highest,survived
male,middle,died
female,highest,survived
male,middle,died
male,lowest,survived
female,lowest,died
female,lowest,survived
male,middle,died
female,highest,survived
male,lowest,died
female,lowest,survived
male,middle,died
female,highest,survived
female,lowest,died
female,middle,survived
female,lowest,survived
male,lowest,died
male,middle,died
female,lowest,survived
female,lowest,died
male,lowest,survived
male,middle,died
male,middle,died
female,lowest,survived
female,highest,survived
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,highest,survived
male,middle,died
female,highest,survived
male,highest,died
female,middle,survived
female,lowest,died
male,lowest,died
male,highest,survived
male,lowest,died
male,lowest,survived
female,lowest,survived
male,lowest,died
female,lowest,died
female,middle,survived
male,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,highest,died
male,highest,died
male,highest,died
male,lowest,died
male,lowest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
male,highest,survived
female,lowest,survived
male,lowest,died
male,middle,died
male,highest,died
male,middle,died
female,lowest,survived
male,highest,died
female,highest,survived
male,lowest,died
male,highest,died
female,lowest,survived
female,lowest,survived
female,lowest,survived
female,middle,survived
female,lowest,survived
male,lowest,survived
male,lowest,died
male,lowest,died
female,middle,survived
male,middle,died
female,highest,survived
male,middle,survived
male,highest,died
female,lowest,died
female,highest,survived
male,highest,died
female,lowest,died
female,middle,survived
male,lowest,died
female,highest,survived
female,lowest,died
male,middle,died
male,highest,survived
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
female,middle,survived
female,lowest,died
male,lowest,died
male,highest,died
male,middle,died
male,lowest,survived
male,lowest,died
male,lowest,died
male,highest,died
male,highest,survived
male,lowest,survived
male,lowest,died
male,highest,survived
female,lowest,died
male,highest,survived
male,highest,died
female,highest,survived
male,lowest,died
female,highest,survived
female,highest,survived
male,lowest,died
male,lowest,survived
male,middle,died
female,highest,survived
female,middle,died
female,lowest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
male,middle,died
male,lowest,died
male,lowest,died
male,middle,died
male,lowest,died
female,lowest,survived
female,middle,survived
female,highest,survived
male,middle,died
female,middle,survived
female,lowest,survived
male,lowest,survived
male,middle,died
male,middle,died
male,lowest,died
female,lowest,survived
female,highest,survived
male,lowest,died
female,highest,survived
female,lowest,died
female,lowest,survived
male,highest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,highest,died
female,highest,survived
male,lowest,survived
male,highest,died
female,lowest,died
male,lowest,survived
female,lowest,survived
male,lowest,died
male,highest,survived
male,highest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,lowest,died
female,highest,survived
female,middle,died
male,lowest,died
female,middle,survived
female,middle,survived
female,lowest,died
male,middle,died
male,highest,died
male,middle,survived
female,lowest,survived
male,middle,died
female,lowest,survived
male,lowest,survived
female,lowest,survived
male,lowest,died
male,middle,died
male,lowest,died
male,highest,died
female,lowest,survived
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
male,highest,died
male,lowest,died
male,lowest,died
male,lowest,survived
female,middle,survived
male,middle,died
female,highest,survived
female,middle,survived
female,highest,survived
female,lowest,survived
female,middle,survived
male,lowest,died
male,middle,died
male,lowest,died
female,highest,survived
female,lowest,died
male,highest,died
female,middle,survived
male,lowest,died
male,lowest,died
male,middle,died
female,middle,survived
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,highest,died
female,lowest,died
female,middle,survived
male,lowest,died
female,highest,survived
male,highest,survived
male,lowest,died
male,middle,died
female,highest,survived
male,lowest,died
male,middle,died
male,lowest,survived
male,lowest,survived
male,lowest,died
female,middle,survived
male,lowest,died
male,lowest,survived
female,highest,survived
female,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
female,highest,survived
male,lowest,died
female,middle,died
male,lowest,died
male,lowest,died
female,lowest,died
male,highest,died
male,lowest,died
female,lowest,died
male,middle,died
male,lowest,died
female,highest,survived
male,lowest,died
female,middle,survived
male,highest,survived
female,middle,survived
male,highest,survived
female,middle,survived
male,middle,died
female,lowest,died
male,lowest,died
male,lowest,died
male,lowest,survived
female,highest,survived
male,lowest,died
male,lowest,survived
male,lowest,died
female,lowest,died
female,lowest,survived
male,lowest,survived
female,lowest,survived
male,highest,survived
male,lowest,died
male,highest,died
female,lowest,died
female,lowest,survived
male,highest,died
male,lowest,died
male,lowest,died
male,highest,survived
male,middle,died
male,lowest,died
female,highest,survived
male,lowest,died
male,lowest,survived
male,middle,died
male,highest,died
female,highest,survived
female,lowest,survived
male,lowest,died
female,highest,survived
male,middle,died
female,highest,survived
female,highest,survived
female,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
female,middle,survived
female,lowest,survived
male,lowest,died
male,highest,survived
male,lowest,died
male,highest,survived
male,highest,survived
female,middle,survived
male,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,survived
male,middle,died
female,middle,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
male,middle,died
male,highest,died
male,lowest,died
male,lowest,died
female,highest,survived
female,lowest,survived
female,lowest,survived
male,lowest,survived
male,highest,died
female,lowest,died
male,lowest,died
female,middle,survived
male,lowest,died
female,middle,died
male,middle,died
male,lowest,died
male,lowest,died
male,middle,died
female,middle,survived
male,middle,died
female,lowest,died
male,lowest,survived
male,lowest,died
male,lowest,died
female,middle,survived
male,middle,died
female,highest,survived
female,middle,survived
female,highest,survived
male,lowest,survived
male,lowest,died
male,highest,survived
male,highest,survived
male,middle,survived
male,highest,died
male,highest,survived
male,middle,died
male,middle,died
male,lowest,died
male,lowest,survived
male,highest,died
male,highest,died
male,highest,died
male,lowest,survived
male,lowest,died
male,highest,died
female,highest,survived
male,lowest,died
female,middle,survived
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
female,lowest,survived
female,middle,survived
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,lowest,died
female,lowest,died
male,middle,died
female,middle,survived
female,lowest,died
female,middle,survived
male,highest,died
male,middle,died
female,middle,survived
male,lowest,survived
male,lowest,died
male,highest,died
female,highest,survived
female,lowest,died
male,lowest,survived
male,highest,died
female,highest,survived
male,lowest,died
male,highest,died
female,middle,survived
male,middle,died
female,lowest,survived
male,highest,survived
female,lowest,died
male,highest,survived
female,middle,survived
male,highest,survived
male,lowest,died
male,lowest,died
female,middle,survived
female,highest,survived
male,lowest,died
female,lowest,died
male,lowest,died
female,lowest,died
male,lowest,died
male,middle,died
male,highest,survived
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
male,highest,died
male,highest,died
male,lowest,died
male,lowest,died
male,middle,died
male,lowest,survived
female,lowest,survived
male,lowest,died
male,lowest,died
male,middle,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,survived
male,lowest,died
male,middle,survived
male,highest,died
male,highest,survived
female,middle,survived
male,lowest,died
female,highest,survived
female,middle,survived
female,highest,survived
male,lowest,survived
male,highest,survived
male,highest,died
female,lowest,survived
male,lowest,died
female,lowest,died
female,lowest,died
female,lowest,died
male,lowest,died
male,lowest,died
female,middle,survived
female,lowest,survived
male,middle,died
female,highest,survived
male,lowest,died
male,lowest,died
male,lowest,died
male,lowest,died
female,lowest,died
male,middle,died
male,middle,died
male,lowest,died